place_id,name,keyword,latitude,longitude
ChIJTY05ct9zREARWerZ7cJ6efY,Wok-შია,fast food,41.7230464,44.7710803
ChIJe9GGWtZyREARAjdvNfs2vP0,Subway,fast food,41.7198223,44.7785944
ChIJUQLQWyENREARQoZMqPoe0v0,Bacanos,fast food,41.7207574,44.7675918
ChIJ0dgwE9ZyREARyWcB0FHeLmE,McDonald's,fast food,41.7187381,44.7788934
ChIJl8gGSvJzREAResjDpofLzbY,Big bang fast food,fast food,41.72709020000001,44.76446360000001
ChIJYQYcAmtzREARx8q0Nw4YaD8,Wrap N roll,fast food,41.7210922,44.7730329
ChIJswFogKRzREARpI44nxf381M,Apollo11,fast food,41.7224003,44.7659254
ChIJ95tvZ-NzREARcEapulNA4io,MARGE - მარგე,fast food,41.7197846,44.778302
ChIJiVciU51zREAREzw7YEh2EKY,Shawarma Factory - შაურმა ფაქტორი,fast food,41.7212172,44.77206810000001
ChIJ2d0ghtlyREARZBVXrxl1C-I,MacShaurma,fast food,41.7243913,44.77587810000001
ChIJ6yRdnFlzREARWivhFSoL5-4,KFC,fast food,41.7215224,44.7701772
ChIJJ9UwysFzREARNhIX0z4Gt14,Q80,fast food,41.7258398,44.7694626
ChIJdftfRgBzREARpwNELQqUmYw,Craft Food Restaurant • კრაფტ ფუდ რესტორანი,fast food,41.7246925,44.7756222
ChIJgRGGqcZzREAR6oHmp6LBwR8,წერეთლის მექსიკური საბურთალო,fast food,41.7238771,44.7756724
ChIJlxsgVSdzREARI5Us3LoHi6Y,Street Food Phelamush,fast food,41.7209608,44.7715525
ChIJ94ucH8NzREARkIALGzzYmXk,FitShaurma,fast food,41.720851,44.76938519999999
ChIJBzCpToZzREARqef0yltds40,Mela,fast food,41.7168233,44.7744448
ChIJD_KHgHVzREAR8qqTztoQVGE,გულიანი,fast food,41.71822969999999,44.7814047
ChIJXXJWPwBzREARL4HEuUsVyv4,Dipstrip Kostava Only Delivery,fast food,41.7201361,44.7772404
ChIJZ5W2C9VzREARdcoYlEM9wuM,დოლიძის შაურმა,fast food,41.71753959999999,44.7758009
ChIJCQbF5nFzREARr34b31WaUwU,Golden pub,fast food,41.7269567,44.7660932
ChIJh8QIH7NzREARNjAviag9VDo,The Baked Potato | ზე ბეიქედ პოტეიტო,fast food,41.7193769,44.7648833
ChIJYcVcGGtzREAR5G6fb0ZaR4o,Premium Sandwich,fast food,41.7169635,44.78028459999999
ChIJH6vz5PZzREARm1JS56MKK3s,BONANO SHAWARMA,fast food,41.7234462,44.77518490000001
ChIJMT4AaABzREARevEuHTMn-04,ბაბუს მწვადი • Babus Mtsvadi,fast food,41.7175547,44.7758599
ChIJIRz-sNlyREARdBbMcCBQ644,Bake House,fast food,41.7228726,44.7743651
ChIJC9tB8jtzREARA0m_FDjNe0Q,Fire Wok Saburtalo,fast food,41.7266928,44.7735291
ChIJZfGp0FxzREARZqH0Y00ez9c,Big Sam's,fast food,41.7261572,44.7675376
ChIJp8oZY8xzREARot2sPtWeQ5k,Alexandria restaurant Medical,fast food,41.7269811,44.76517399999999
ChIJURJc_1NzREARkK0ci6FTF2E,Dodo Pizza,fast food,41.7228149,44.77344
ChIJf5SM6PpzREARvrTCv-RKJeQ,Subway,fast food,41.7286,44.7768745
ChIJ0UbklQUNREAR5jzM9lGUgHs,Franky • ფრენკი,fast food,41.71383000000001,44.7983042
ChIJlR7x5zINREARB01M9ngm79Q,Bistro Nostimo,fast food,41.7212256,44.798707
ChIJNfOOPoNzREARECqN9NNDreI,Family Burger,fast food,41.7234871,44.7924094
ChIJhaifenwNREAR_B-Tw1-H4SM,Modu’s Pishka,fast food,41.7115176,44.79568709999999
ChIJJWBSP81zREARNAE2bdXI8FY,panda shawarma,fast food,41.7240823,44.7913456
ChIJGbvvhs1yREARNAVuPUTiP8g,ჩიქენო,fast food,41.7215417,44.7900144
ChIJa8elPR9zREAR6ZkcSsZG66U,KFC,fast food,41.7252883,44.7998318
ChIJd_G6YM9yREARXVeIYmP9pLM,McDonald's,fast food,41.7277371,44.7879935
ChIJ2-AhRMxyREARqDj0RrXna0w,ჩვენი გემო საცხობი შაურმა,fast food,41.7240808,44.7945813
ChIJq5_xbwBzREARLmtAavru37Q,MARGE - მარგე,fast food,41.7283566,44.79821949999999
ChIJlYiSUa0NREAR04dbedm9pAM,Pastachi Marjanishvili,fast food,41.7118895,44.7957849
ChIJoSS7ZTgNREAROyAh4thyyE0,Grill Time,fast food,41.7252941,44.8316126
ChIJubeLxM4NREAREBeb_sbNjmo,Pine Burgers,fast food,41.7290542,44.8245125
ChIJ0bAriksTREARRLBUoXcM_V0,KFC,fast food,41.7122341,44.8784469
ChIJhTRVgRITREARcDDuVltxLR8,Gochits Varketili,fast food,41.7119645,44.8794561
ChIJ_dyQsDETREARf1AkhtfY1kc,15 minutes,fast food,41.7124029,44.8794225
ChIJG54QcJxzREARFGOlMWtPpq0,ოლდენბურგ ვარკეთილი- Oldenburg varketili,fast food,41.7119605,44.8826034
ChIJYwxVPAdzREARN9IH1lomqmQ,El Gusto,fast food,41.7321921,44.7358097
ChIJ0VOPDwRzREARSbsCrGA_QwQ,Fripsy Belgian Fries,fast food,41.7411371,44.7391171
ChIJzfntIwhzREARhYygW-gSW2Y,AE1,fast food,41.7294299,44.7512781
ChIJpYFIcoNzREARB4KXetRWwck,ბურგერ ფერედაისი,fast food,41.7305366,44.760958
ChIJ460DUFFyREARJecTpvm3lpw,Pazzy,fast food,41.7424179,44.7405005
ChIJ47SBFVNzREARqr8_ASyqSYI,Good Choice,fast food,41.7428601,44.7402059
ChIJN5C8Q0UNREARWEN-HoycGlo,Area NY - Pizza delivery and Takeout,fast food,41.73078539999999,44.7589209
ChIJ7Z-vXtFzREARsbleaqnfCpo,Wednesday food,fast food,41.72973409999999,44.7580399
ChIJ72HtfrcNREARkqyPCqPpXb8,City Tantuni • სითი თანთუნი (Halal Restaurant - مطعم طانتوني التركي),fast food,41.729378,44.7538503
ChIJ-39GfwBzREARVglfoPlbEs8,Shaurmafia Saburtalo,fast food,41.7293545,44.76064239999999
ChIJp4YtPZRzREARCN1a6cpmols,Memo Sky Fast Food,fast food,41.7278865,44.759052
ChIJV4YpbgBzREARKa77QDBsF7g,Wendy’s,fast food,41.7346596,44.7743652
